IDX,COMMON_PVFF_CROSSOVERS_IDL_REF,NOTES,POPULAR,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
190,SIZE,,13.125,13-1/8,,,,,,,,,,,,,,,,,,
191,SIZE,,13.1875,13-3/16,,,,,,,,,,,,,,,,,,
192,SIZE,,13.25,13-1/4,,,,,,,,,,,,,,,,,,
193,SIZE,,13.3125,13-5/16,,,,,,,,,,,,,,,,,,
194,SIZE,,13.375,13-3/8,,,,,,,,,,,,,,,,,,
195,SIZE,,13.5,13-1/2,,,,,,,,,,,,,,,,,,
196,SIZE,,13.75,13-3/4,,,,,,,,,,,,,,,,,,
197,SIZE,,13.8125,13-13/16,,,,,,,,,,,,,,,,,,
198,SIZE,,19.625,19-5/8,,,,,,,,,,,,,,,,,,
199,SIZE,,"0.0625""",0.0625,1/16,,0.125X0.125X0.125,,,,,,,,,,,,,,,
200,SIZE,,"0.125""",0.125,,,0.125X0.125X0.125,,,,,,,,,,,,,,,
201,SIZE,,"0.25""",0.25,,,0.25X0.25X0.25,,,,,,,,,,,,,,,
202,SIZE,,"0.375""",0.375,,,0.375X0.375X0.375,,,,,,,,,,,,,,,
203,SIZE,,"0.5""",0.5,,,0.5X0.5X0.5,,,,,,,,,,,,,,,
204,SIZE,,"0.625""",0.625,,,0.625X0.625X0.625,,,,,,,,,,,,,,,
205,SIZE,,"0.75""",0.75,,,0.75X0.75X0.75,,,,,,,,,,,,,,,
206,SIZE,,"0.875""",0.875,,,0.875X0.875X0.875,,,,,,,,,,,,,,,
207,SIZE,,"1""",1,1IN,1 IN,1X1X1,,,,,,,,,,,,,,,
208,SIZE,,"1.25""",1.25,1-1/4,"1.1/4""",1.25X1.25X1.25,,,,,,,,,,,,,,,
209,SIZE,,"1.5""",1.5,1-1/2,"1.1/2""",1.5X1.5X1.5,,,,,,,,,,,,,,,
210,SIZE,,"10""",10,,,10X10X10,,,,,,,,,,,,,,,
211,SIZE,,"12""",12,,,12X12X12,,,,,,,,,,,,,,,
212,SIZE,,"14""",14,,,14X14X14,,,,,,,,,,,,,,,
213,SIZE,,"16""",16,,,16X16X16,,,,,,,,,,,,,,,
214,SIZE,,"18""",18,,,18X18X18,,,,,,,,,,,,,,,
215,SIZE,,"2""",2,2IN,2 IN,2X2X2,,,,,,,,,,,,,,,
216,SIZE,,"2.5""",2.5,2-1/2,2.1/2,2.5X2.5X2.5,,,,,,,,,,,,,,,
217,SIZE,,"20""",20,,,20X20X20,,,,,,,,,,,,,,,
218,SIZE,,"24""",24,,,24X24X24,,,,,,,,,,,,,,,
219,SIZE,,"3""",3,3IN,3 IN,3X3X3,,,,,,,,,,,,,,,
220,SIZE,,"30""",30,,,30X30X30,,,,,,,,,,,,,,,
221,SIZE,,"36""",36,,,36X36X36,,,,,,,,,,,,,,,
222,SIZE,,"4""",4,4IN,4 IN,4X4X4,,,,,,,,,,,,,,,
223,SIZE,,"42""",42,,,42X42X42,,,,,,,,,,,,,,,
224,SIZE,,"48""",48,,,48X48X48,,,,,,,,,,,,,,,
